İl,Yıllık Ortalama Sıcaklık (1991-2020),Yıllık Ortalama Yağış Miktarı (1991-2020)
Adana,19.5,680.8
Adıyaman,17.7,729.5
Afyonkarahisar,11.7,451.4
Ağrı,6.7,512.9
Aksaray,12.8,349.4
Amasya,13.8,469.2
Ankara,12.6,413.6
Antalya,19.0,1059.4
Ardahan,4.3,600.4
Artvin,,
Aydın,18.1,635.5
Balıkesir,14.7,524.2
Bartın ,13.1,1072.4
Batman,16.5,493.6
Bayburt,7.5,475.6
Bilecik,12.9,482.1
Bingöl,12.3,935.1
Bitlis,9.0,1046.6
Bolu ,10.9,573.6
Burdur,13.5,432.3
Bursa,14.9,719.1
Çanakkale,15.6,620.3
Çankırı,11.6,427.9
Çorum,11.0,448.8
Denizli,16.9,573.8
Diyarbakır,15.9,498.4
Düzce,13.6,822.9
Edirne,14.2,625.2
Elazığ,13.5,404.0
Erzincan,11.5,380.1
Erzurum,5.3,396.0
Eskişehir,11.5,346.0
Gaziantep,16.0,601.6
Giresun,15.1,1308.4
Gümüşhane,9.8,465.9
Hakkari,10.7,777.0
Hatay,18.6,1124.2
Iğdır,12.8,265.8
Isparta,12.5,19.0
İstanbul,,
İzmir,18.4,730.5
Kahramanmaraş,,
Karabük,13.4,522.1
Karaman,12.4,335.3
Kars,5.5,530.0
Kastamonu,10.1,525.3
Kayseri,11.0,408.2
Kırıkkale,12.9,386.9
Kırklareli,13.8,585.8
Kırşehir,11.9,385.4
Kilis,17.6,493.4
Kocaeli,15.3,20.3
Konya,11.9,325.3
Kütahya,11.2,550.6
Malatya,14.3,365.8
Manisa,17.1,724.6
Mardin ,16.6,610.1
Mersin,20.1,632.9
Muğla,15.4,1165.2
Muş,10.3,781.9
Nevşehir,11.2,418.0
Niğde,11.7,349.9
Ordu,15.0,1066.0
Osmaniye,18.6,839.8
Rize ,15.0,2309.5
Sakarya,15.2,878.6
Samsun,15.0,729.7
Siirt,16.7,700.7
Sinop,14.7,727.8
Sivas,9.6,455.4
Şanlıurfa,19.0,450.5
Şırnak,15.6,768.2
Tekirdağ,14.5,601.0
Tokat,12.9,442.9
Trabzon,15.2,902.1
Tunceli,13.2,826.6
Uşak,12.9,564.5
Van,10.1,410.2
Yalova,15.1,748.9
Yozgat,9.7,595.7
Zonguldak,14.0,1238.6
